work_year,experience_level,employee_residence,remote_ratio,company_location,company_size,salario_eur,job_title_mean,company_location_mean,employee_location_mean,job_title_map,employment_type_encoded
137121.89788235293,3,40,100,35,3,78979.24,182317.435,53061.97974025974,55626.28200000001,1,2
137121.89788235293,2,4,100,3,1,27600.0,145684.24588235296,139676.24877631577,140596.25071904127,4,0
137121.89788235293,2,4,100,3,1,23460.0,145684.24588235296,139676.24877631577,140596.25071904127,4,0
137121.89788235293,3,5,100,5,2,161000.0,129600.18423809524,121364.27448275863,121645.07341176471,1,2
137121.89788235293,3,5,100,5,2,110400.0,129600.18423809524,121364.27448275863,121645.07341176471,1,2
137121.89788235293,3,4,0,3,3,204424.0,175043.32413793105,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,3,125120.0,175043.32413793105,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,5,0,5,2,201480.0,129600.18423809524,121364.27448275863,121645.07341176471,1,2
137121.89788235293,3,5,0,5,2,129720.0,129600.18423809524,121364.27448275863,121645.07341176471,1,2
137121.89788235293,3,4,0,3,2,135332.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,83444.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,119600.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,92000.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,1,4,0,3,3,196567.2,175043.32413793105,139676.24877631577,140596.25071904127,1,2
137121.89788235293,1,4,0,3,3,120299.20000000001,175043.32413793105,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,135332.0,109388.0,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,83444.0,109388.0,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,156400.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,138000.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,2,4,100,3,2,138000.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,4,100,3,2,101200.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,22,0,18,2,253000.0,150059.7081081081,81225.69928571429,87190.47,0,2
137121.89788235293,3,22,0,18,2,160080.0,150059.7081081081,81225.69928571429,87190.47,0,2
137121.89788235293,3,24,100,19,2,211600.0,140179.14058252427,79938.8481395349,80029.25748502994,0,2
137121.89788235293,3,24,100,19,2,131744.0,140179.14058252427,79938.8481395349,80029.25748502994,0,2
137121.89788235293,3,4,0,3,2,207000.0,160218.0,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,143888.0,160218.0,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,184000.0,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,3,4,0,3,2,119600.0,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,3,5,0,5,2,82800.0,74520.0,121364.27448275863,121645.07341176471,3,2
137121.89788235293,3,5,0,5,2,66240.0,74520.0,121364.27448275863,121645.07341176471,3,2
137121.89788235293,3,4,0,3,2,232944.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,83444.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,315385.2,132053.22222222222,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,169822.80000000002,132053.22222222222,139676.24877631577,140596.25071904127,0,2
137121.89788235293,2,4,0,3,2,149500.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,4,0,3,2,119600.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,4,0,3,2,96949.6,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,4,0,3,2,59340.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,1,35,100,23,3,92000.0,78486.51428571428,71760.0,59800.0,0,2
137121.89788235293,1,35,100,23,3,27600.0,27600.0,71760.0,59800.0,3,2
122671.5311298077,2,57,50,55,3,19305.280000000002,142315.46851211073,27781.922068965516,33320.97464788733,4,2
137121.89788235293,1,4,0,3,3,188250.4,175043.32413793105,139676.24877631577,140596.25071904127,1,2
137121.89788235293,1,4,0,3,3,101825.6,175043.32413793105,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,249046.76,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,203765.28,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,195730.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,170200.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,241040.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,225400.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,253276.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,168820.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,201020.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,183170.16,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,187036.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,113712.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,173981.2,150059.7081081081,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,127880.0,150059.7081081081,139676.24877631577,140596.25071904127,0,2
137121.89788235293,4,4,0,3,2,238050.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,4,4,0,3,2,170200.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,212980.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,152720.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,158700.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,101660.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,218960.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,161920.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,218040.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,185334.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,3,284648.0,175043.32413793105,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,3,146372.0,175043.32413793105,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,105800.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,74980.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,218040.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,185334.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,257600.0,132053.22222222222,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,193200.0,132053.22222222222,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,100,3,2,257692.0,148776.6704950495,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,100,3,2,154652.0,148776.6704950495,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,100,3,2,178020.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,127880.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
